category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_crumbles,80,photos_crumbles/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.8591340184211731,0.055695127695798874,0.9533333333333334
photos_crumbles,80,photos_crumbles/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9337968826293945,0.03375883772969246,0.96
photos_doogee,80,photos_doogee/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.9514807462692261,0.03271404281258583,0.9666666666666667
photos_doogee,80,photos_doogee/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9577251076698303,0.02537696436047554,0.9733333333333334
photos_iphone,80,photos_iphone/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.8615581393241882,0.05350972339510918,0.9666666666666667
photos_iphone,80,photos_iphone/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9712663888931274,0.02187691628932953,0.98
photos_samsung,80,photos_samsung/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.962835967540741,0.030515221878886223,0.9866666666666667
photos_samsung,80,photos_samsung/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9862273931503296,0.014624487608671188,0.9866666666666667
photos_scans,80,photos_scans/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.91647869348526,0.04270078241825104,0.9733333333333334
photos_scans,80,photos_scans/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9749252796173096,0.021131079643964767,0.98
photos_screens,80,photos_screens/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.9321417808532715,0.04298227280378342,0.9533333333333334
photos_screens,80,photos_screens/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.9339600205421448,0.03855123370885849,0.9666666666666667
photos_bents,81,photos_bents/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.682758629322052,0.09521260857582092,0.9266666666666666
photos_bents,81,photos_bents/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.7240261435508728,0.06952764838933945,0.9666666666666667
photos_crumbles,81,photos_crumbles/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.7014908194541931,0.09889642149209976,0.92
photos_crumbles,81,photos_crumbles/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.713136613368988,0.07541660964488983,0.9733333333333334
photos_doogee,81,photos_doogee/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.9756116271018982,0.024170957505702972,0.9733333333333334
photos_doogee,81,photos_doogee/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.9718170762062073,0.016756443306803703,0.9933333333333333
photos_iphone,81,photos_iphone/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.9826937913894653,0.022429633885622025,0.9866666666666667
photos_iphone,81,photos_iphone/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.9820442199707031,0.012489516288042068,0.9933333333333333
